호선명,지하철역,role,lat,lng,business_place,residential_place,mixed_place,place,dist
3호선,교대(법원.검찰청),business,37.49279345737089,127.01411393329036,0,-1,-1,0,2503.241112016769
3호선,구파발,other,37.63702699636522,126.91899211696432,-1,-1,-1,-1,
3호선,금호,other,37.54806231396788,127.01586482801342,-1,-1,-1,-1,
3호선,남부터미널(예술의전당),other,37.48474962298688,127.01627339714322,-1,-1,-1,-1,
3호선,녹번,other,37.60091946507972,126.93576542871703,-1,-1,-1,-1,
3호선,대청,other,37.49405159550611,127.0791739283744,-1,-1,-1,-1,
3호선,대치,other,37.49396072181887,127.06240348134602,-1,-1,-1,-1,
3호선,도곡,other,37.49072841109509,127.05568242908524,-1,-1,-1,-1,
3호선,독립문,other,37.574042435212895,126.95815870261268,-1,-1,-1,-1,
3호선,동대입구,other,37.55885563564389,127.0053515758039,-1,-1,-1,-1,
