호선명,지하철역,role,lat,lng
6호선,버티고개,other,37.548193242270244,127.00738870965667
6호선,보문,other,37.58510930994358,127.01931231375174
6호선,봉화산(서울의료원),other,37.61723424087117,127.09154608593866
6호선,불광,other,37.61117376260042,126.92958881062188
6호선,삼각지(전쟁기념관),other,37.5369869,126.9771015
6호선,상수,other,37.54765436698118,126.92325187272023
6호선,상월곡(한국과학기술연구원),other,37.6058716207125,127.04781012738063
6호선,새절(신사),other,37.59151721910183,126.91391731295879
6호선,석계,other,37.61492456101739,127.06594267971394
6호선,신내,other,37.61304690483601,127.1034525574782
6호선,신당,other,37.565669,127.019452
6호선,안암(고대병원앞),other,37.58645190525066,127.02870932118485
6호선,약수,other,37.55486270741788,127.01091782508675
6호선,역촌,other,37.60588462747197,126.923048451063
6호선,연신내,residential,37.61916046901461,126.92086949978284
6호선,월곡(동덕여대),other,37.602205200978524,127.04158382144861
6호선,월드컵경기장(성산),other,37.56996754294129,126.89893194188045
6호선,응암,other,37.59896321504193,126.91592500447203
6호선,이태원,other,37.53460961173082,126.9940830495346
6호선,증산(명지대앞),other,37.58352926196434,126.90949508586425
6호선,창신,other,37.57306100892004,127.0168106142304
6호선,청구,other,37.56024933622041,127.01383762318397
6호선,태릉입구,other,37.617929168793715,127.07512966971228
6호선,한강진,other,37.54028507253922,127.00197865237232
6호선,합정,residential,37.5489925872559,126.91398300105878
6호선,화랑대(서울여대입구),other,37.62005980271722,127.08398481310152
6호선,효창공원앞,other,37.53867222482999,126.96287530604673
7호선,가산디지털단지,business,37.481130156879466,126.88233218774405
7호선,강남구청,other,37.51721695632317,127.04126963827999
7호선,건대입구,mixed,37.54065910963556,127.0696415597521
7호선,고속터미널,mixed,37.50483885125289,127.00386634886466
7호선,공릉(서울과학기술대),other,37.62557469923346,127.07329283381253
7호선,광명사거리,residential,37.4793066,126.8546747
7호선,군자(능동),other,37.556934474091946,127.07976872745276
7호선,까치울,other,37.5062327,126.8113591
7호선,남구로,other,37.486087,126.887272
7호선,남성,other,37.48473947477951,126.97145089485716
7호선,내방,other,37.48750721566179,126.99321371275778
7호선,노원,residential,37.655812595354526,127.06218852394072
7호선,논현,other,37.51133061451594,127.02163708917021
7호선,대림(구로구청),residential,37.49334572870372,126.89575596596285
7호선,도봉산,other,37.68929924117382,127.04623767796916
7호선,마들,other,37.6648030404302,127.05788631709227
7호선,먹골,other,37.61098277468011,127.07789443323499
7호선,면목,other,37.58847546853265,127.0873440951114
7호선,반포,other,37.50831097824673,127.01196102152761
7호선,보라매,other,37.5000847411346,126.92002830294443
7호선,사가정,other,37.580575730241755,127.0882701339492
7호선,상도,other,37.50315902197367,126.94817010008148
7호선,상봉,other,37.5964077,127.0858246
7호선,수락산,other,37.67892116943489,127.05556486620107
7호선,숭실대입구(살피재),other,37.495908846279264,126.95398172936834
7호선,신대방삼거리,other,37.49960253231366,126.9280217937874
7호선,신풍,other,37.50022128400627,126.90928106733418
7호선,어린이대공원(세종대),other,37.5481851613616,127.07478779079727
7호선,온수(성공회대입구),other,37.49234545420575,126.82411494710904
7호선,용마산(용마폭포공원),other,37.5728192,127.0911912
7호선,이수,other,37.48497984927143,126.98107542952125
7호선,자양(뚝섬한강공원),other,37.531544,127.066708
7호선,장승배기,other,37.50457094121145,126.9388548744508
7호선,장암,other,37.700145,127.0531804
7호선,중계,other,37.645365906314794,127.06374439445429
7호선,중곡,other,37.566106449121094,127.08472991711405
7호선,중화,other,37.60230158736344,127.07917976297286
7호선,천왕,other,37.486712180979524,126.83879895539022
7호선,철산,residential,37.570176,126.983197
7호선,청담,other,37.5190237920898,127.05127771830456
7호선,태릉입구,other,37.617929168793715,127.07512966971228
7호선,하계,other,37.63724675860568,127.06772623854414
7호선,학동,business,37.51389301558195,127.03112538605993
8호선,가락시장,other,37.49262375265571,127.11845843437312
8호선,강동구청,other,37.53032246263641,127.12023524093304
8호선,남위례,other,37.462856,127.139064
8호선,남한산성입구(성남법원.검찰청),other,37.451548,127.159837
8호선,단대오거리,other,37.44504999999999,127.156709
8호선,모란,other,37.432124,127.129064
8호선,몽촌토성(평화의문),other,37.5176243275448,127.11218692416507
8호선,문정,other,37.48625939608584,127.12268435465137
8호선,복정,other,37.470375,127.126685
8호선,산성,other,37.457001,127.150027
8호선,석촌,other,37.505248586373185,127.10715206438636
8호선,송파,other,37.499504154508294,127.11274757857919
8호선,수진,other,37.4376051,127.1409692
8호선,신흥,other,37.440956,127.147509
8호선,암사,other,37.55012621439297,127.12735700818776
8호선,암사역사공원,other,37.5571422,127.1373175
8호선,잠실(송파구청),mixed,37.51424340621623,127.10339984743409
8호선,장지,other,37.478660442676436,127.12614141888304
