시간,역명_cleaned,호선,상하구분,혼잡도,role,stinConsOrdr,left_transfer,left_dist,right_transfer,right_dist
17.0,동묘앞,1,상선,36.8,other,31,,,,
17.0,동묘앞,1,하선,38.1,other,31,,,,
17.5,동묘앞,1,상선,50.9,other,31,,,,
17.5,동묘앞,1,하선,38.1,other,31,,,,
18.0,동묘앞,1,상선,74.1,other,31,,,,
18.0,동묘앞,1,하선,45.2,other,31,,,,
18.5,동묘앞,1,상선,77.7,other,31,,,,
18.5,동묘앞,1,하선,26.1,other,31,,,,
19.0,동묘앞,1,상선,41.4,other,31,,,,
19.0,동묘앞,1,하선,20.1,other,31,,,,
19.5,동묘앞,1,상선,31.0,other,31,,,,
19.5,동묘앞,1,하선,18.3,other,31,,,,
20.0,동묘앞,1,상선,32.1,other,31,,,,
20.0,동묘앞,1,하선,14.8,other,31,,,,
20.5,동묘앞,1,상선,30.1,other,31,,,,
20.5,동묘앞,1,하선,14.4,other,31,,,,
21.0,동묘앞,1,상선,41.8,other,31,,,,
21.0,동묘앞,1,하선,16.1,other,31,,,,
21.5,동묘앞,1,상선,29.9,other,31,,,,
21.5,동묘앞,1,하선,12.4,other,31,,,,
22.0,동묘앞,1,상선,29.0,other,31,,,,
22.0,동묘앞,1,하선,14.4,other,31,,,,
22.5,동묘앞,1,상선,23.5,other,31,,,,
22.5,동묘앞,1,하선,9.5,other,31,,,,
23.0,동묘앞,1,상선,27.7,other,31,,,,
23.0,동묘앞,1,하선,8.2,other,31,,,,
23.5,동묘앞,1,상선,13.5,other,31,,,,
23.5,동묘앞,1,하선,7.4,other,31,,,,
0.0,동묘앞,1,상선,14.3,other,31,,,,
0.0,동묘앞,1,하선,2.0,other,31,,,,
0.5,동묘앞,1,상선,0.0,other,31,,,,
0.5,동묘앞,1,하선,0.4,other,31,,,,
5.5,동대문,1,상선,7.4,other,32,,,,
5.5,동대문,1,하선,13.5,other,32,,,,
6.0,동대문,1,상선,11.2,other,32,,,,
6.0,동대문,1,하선,17.6,other,32,,,,
6.5,동대문,1,상선,8.3,other,32,,,,
6.5,동대문,1,하선,22.0,other,32,,,,
7.0,동대문,1,상선,14.0,other,32,,,,
7.0,동대문,1,하선,43.8,other,32,,,,
7.5,동대문,1,상선,21.7,other,32,,,,
7.5,동대문,1,하선,70.6,other,32,,,,
8.0,동대문,1,상선,30.3,other,32,,,,
8.0,동대문,1,하선,80.0,other,32,,,,
8.5,동대문,1,상선,24.6,other,32,,,,
8.5,동대문,1,하선,83.9,other,32,,,,
9.0,동대문,1,상선,27.2,other,32,,,,
9.0,동대문,1,하선,70.6,other,32,,,,
